"HB Weapons","Name","Specialisation","Dmg","Range","Mag","Enc","Cost","Avail","Traits","Description","Page"
,"Great Weapon","Two-Handed","4+StrB","--","--",2,300,"Scarce","Heavy (4), Two-handed",,"IM 128"
,"Hammer","One-Handed","2+StrB","--","--",1,25,"Common",,,"IM 128"
,"Improvised (One-Handed)","One-Handed","1+StrB","--","--",1,"-","Common","Ineffective",,"IM 128"
,"Improvised (Two-Handed)","Two-Handed","2+StrB","--","--",3,"-","Common","Ineffective, Two-handed",,"IM 128"
,"Knife","One-Handed","0+StrB","--","--",0,50,"Common","Subtle, Thrown (Short)",,"IM 128"
,"Staff","Two-Handed","1+StrB","--","--",2,25,"Common","Defensive, Two-handed",,"IM 128"
,"Sword","One-Handed","2+StrB","--","--",1,150,"Common","--",,"IM 128"
,"Unarmed","Brawling","0+StrB","--","--",0,"--","Common","Ineffective",,"IM 128"
,"Whip","One-Handed","0+StrB","--","--",1,60,"Scarce","Loud, Reach",,"IM 128"
,"Death World Combat Blade (One-Handed)","One-Handed","2+StrB","--","--",1,250,"Scarce","Heavy (3), Penetrating (1), Reliable","The long haft of this blade allows it to be wielded as
either a One-handed or Two-handed weapon. When
wielded with both hands, deals +1 Damage and gains
Penetrating (+1).","RM 45"
,"Death World Combat Blade (Two-Handed)","Two-Handed","3+StrB","--","--",1,250,"Scarce","Heavy (3), Penetrating (2), Reliable, Two-Handed","The long haft of this blade allows it to be wielded as
either a One-handed or Two-handed weapon. When
wielded with both hands, deals +1 Damage and gains
Penetrating (+1).","RM 46"
,"Heavy Lascutter","Two-Handed","6+StrB","--","--",3,3000,"Rare","Heavy (4), Loud, Penetrating (4), Two-handed",,"RM 47"
,"Heavy Rock Cutter","Two-Handed","6+StrB","--","--",5,5000,"Scarce","Heavy (4), Loud, Penetrating (5), Rend (3), Two-handed",,"RM 48"
,"Heavy Rock Drill","Two-Handed","6+StrB","--","--",5,4000,"Scarce","Heavy (4), Loud, Rend (5), Two-handed",,"RM 49"
,"Heavy Rock Saw","Two-Handed","4+StrB","--","--",3,3500,"Scarce","Bulky, Heavy (4), Loud, Rend (4), Two-handed",,"RM 50"
,"Servo Claw","Brawling","4+StrB","--","--",1,1000,"Scarce","Heavy (4), Penetrating (4)",,"RM 51"
,"Staff of Officer","Two-Handed","2+StrB","--","--",2,8000,"Exotic","Defensive, Ornamental, Two-Handed","While wielding a Staff of Office, a character has +1 Temporary Influence with the Faction to which the Staff ’s design and ornamentation are tied.","RM 51"
,"Electro-Flail","One-Handed","0+StrB","--","--",1,500,"Scarce","Loud, Reach, Inflict (Stunned)","Shock weapons have the Inflict (Stunned) Trait while activated.","IM 128"
,"Shock Maul","One-Handed","2+StrB","--","--",1,250,"Scarce","Loud, Inflict (Stunned)","Shock weapons have the Inflict (Stunned) Trait while activated.","IM 128"
,"Shock Knuckles","Brawling","0+StrB","--","--",0,1000,"Rare","Inflict (Stunned), Loud, Subtle","Shock weapons have the Inflict (Stunned) Trait while activated.","MR 45"
,"Shock Staff","Two-Handed","1+StrB","--","--",2,150,"Scarce","Defensive, Inflict (Stunned), Loud, Two-handed","Shock weapons have the Inflict (Stunned) Trait while activated.","MR 45"
,"Power Axe","Two-Handed","6+StrB","--","--",2,3400,"Rare","Heavy (4), Penetrating (6), Two-handed","Power weapons often deal high Damage and have the Penetration Trait while activated.","IM 128"
,"Power Fist","Brawling","6+StrB","--","--",2,4000,"Rare","Heavy (4), Penetrating (6)","Power weapons often deal high Damage and have the Penetration Trait while activated.","IM 128"
,"Power Knife","One-Handed","2+StrB","--","--",1,2000,"Rare","Penetrating (2), Subtle, Thrown (Short)","Power weapons often deal high Damage and have the Penetration Trait while activated.","IM 128"
,"Power Mail","One-Handed","5+StrB","--","--",1,3000,"Rare","Penetrating (2)","Power weapons often deal high Damage and have the Penetration Trait while activated.","IM 128"
,"Power Sword","One-Handed","4+StrB","--","--",1,3000,"Rare","Penetrating (4)","Power weapons often deal high Damage and have the Penetration Trait while activated.","IM 128"
,"Compliance Pattern Power Maul","One-Handed","5+StrB","--","--",1,5000,"Rare","Heavy (4), Penetrating (3), Two-handed","Power weapons often deal high Damage and have the Penetration Trait while activated. When the wielder damages a target with the Compliance Pattern, for the rest of the encounter, each target damaged must make a Difficult (−10) Discipline (Fear) Test or suffer the Frightened (Minor) Condition.","MR 45"
,"Macharian Regimental Power Sword","One-Handed","4+StrB","--","--",1,10000,"Exotic","Master-crafted, Ornamental, Penetrating (4)","Power weapons often deal high Damage and have the Penetration Trait while activated.","MR 45"
,"Mortis Alpha Ceremonial Blade","Two-Handed","6+StrB","--","--",2,11000,"Exotic","Durable, Master-crafted, Ornamental, Penetrating (4)","Power weapons often deal high Damage and have the Penetration Trait while activated.","MR 45"
,"Bolt Pistol","Pistols",8,"Medium",2,2,"4000 (400)","Rare","Burst, Close, Loud, Penetrating (4), Spread","Bolt Weapons loaded with standard ammunition have the Penetrating and Spread Traits — the latter a result of the exploding shrapnel released from these devastating, explosive rounds.","IM 132"
,"Boltgun","Long Guns",8,"Long",4,3,"5000 (500)","Rare","Loud, Penetrating (4), Rapid Fire (2), Spread, Two-handed","Bolt Weapons loaded with standard ammunition have the Penetrating and Spread Traits — the latter a result of the exploding shrapnel released from these devastating, explosive rounds.","IM 132"
,"Heavy Bolter","Ordnance",10,"Long",6,4,"9000 (900)","Rare","Heavy (4), Penetrating (5), Loud, Rapid Fire (3), Spread, Two-handed","Bolt Weapons loaded with standard ammunition have the Penetrating and Spread Traits — the latter a result of the exploding shrapnel released from these devastating, explosive rounds.","IM 132"
,"Ajax Pattern Boltgun","Long Guns",8,"Long",4,3,"6500 (650)","Exotic","Loud, Penetrating (4), Rapid Fire (2), Reliable, Spread, Two-handed","Bolt Weapons loaded with standard ammunition have the Penetrating and Spread Traits — the latter a result of the exploding shrapnel released from these devastating, explosive rounds.","MR 51"
,"Supremus Pattern Bolt Pistol","Pistols",8,"Medium",4,3,"5500 (550)","Rare","Burst, Close, Loud, Penetrating (4), Reliable, Spread","Bolt Weapons loaded with standard ammunition have the Penetrating and Spread Traits — the latter a result of the exploding shrapnel released from these devastating, explosive rounds.","MR 51"
,"Hand Flamer","Pistols",7,"Short",2,1,"500 (25)","Rare","Close, Flamer, Inflict (Ablaze), Loud","Flame weapons always have the Flamer and Inflict (Ablaze) Trait, but have limited magazines.","IM 132"
,"Flamer","Long Guns",8,"Medium",4,2,"1000 (50)","Scarce","Flamer, Inflict (Ablaze), Loud, Two-handed","Flame weapons always have the Flamer and Inflict (Ablaze) Trait, but have limited magazines.","IM 132"
,"Laspistol","Pistols",5,"Medium",4,0,"400 (100)","Common","Burst, Close, Loud, Reliable","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Lasgun","Long Guns",6,"Long",8,2,"600 (150)","Common","Burst, Loud, Reliable, Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Las Carbine","Long Guns",5,"Medium",6,1,"800 (200)","Common","Loud, Rapid Fire (1), Reliable, Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Long Las","Long Guns",6,"Extreme",4,2,"1000 (250)","Scarce","Burst, Loud, Penetrating (1), Reliable, Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Hot-Shot Laspistol","Pistols",8,"Medium",2,1,"900 (225)","Rare","Burst, Close, Loud, Penetrating (2)","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Hot-Shot Lasgun","Long Guns",8,"Long",4,3,"1000 (250)","Rare","Burst, Loud, Penetrating (2), Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Lascannon","Ordnance",18,"Extreme",5,4,"8000 (2000)","Rare","Heavy (4), Loud, Penetrating (10), Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","IM 132"
,"Accatran Pattern 'Spearhead' Recon Lasgun","Long Guns",5,"Long",8,2,"700 (70)","Rare","Loud, Rapid Fire (1), Reliable, Spread, Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","MR 51"
,"Eskutchax Pattern Mark III 'Fury' Lasgun","Long Guns",6,"Medium",8,2,"700 (70)","Rare","Loud, Rapid Fire (2), Reliable, Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","MR 51"
,"Lucius Mk I Helbore Pattern Lasgun","Long Guns",6,"Long",4,2,"700 (70)","Rare","Loud, Reliable, Supercharge (3), Two-handed","Las weapons typically have large Magazines and come with the Reliable Trait.","MR 51"
,"Mining Laser","Ordnance",18,"Long",8,5,"6000 (600)","Rare","Heavy (5), Loud, Penetrating (8), Two-handed, Unstable","Las weapons typically have large Magazines and come with the Reliable Trait.","MR 51"
,"Grenade Launcher","Ordnance","--","Long",6,2,1000,"Rare","Loud, Two-handed","Launchers’ effects change dramatically depending on what Grenade or Missile they are loaded with. See page 134 for more on Grenades and Missiles.","IM 132"
,"Portable Missile Launcher","Ordnance","--","Extreme",1,3,2000,"Rare","Heavy (4), Loud, Two-handed","Launchers’ effects change dramatically depending on what Grenade or Missile they are loaded with. See page 134 for more on Grenades and Missiles.","IM 132"
,"Inferno Pistol","Pistols",16,"Short",3,1,"8000 (400)","Exotic","Close, Loud, Rend (5)","Melta weapons have high damage and the Rend Trait, but suffer from limited range.","IM 133"
,"Meltagun","Long Guns",16,"Medium",5,2,"90000 (450)","Rare","Loud, Rend (5), Two-handed","Melta weapons have high damage and the Rend Trait, but suffer from limited range.","IM 133"
,"Multi-Melta","Ordnance",16,"Long",6,3,"13500 (1350)","Rare","Blast, Heavy (4), Loud, Rend (5), Two-handed","The weapon’s fuel and power supply is typically so large that it requires insulated mounting in a vehicle or specialised mounting on a Power Armoured individual.","MR 51"
,"Plasma Pistol","Pistols",10,"Medium",6,1,"7000 (500)","Rare","Close, Loud, Penetrating (6), Supercharge (4), Unstable","Plasma weapons deal high damage and have the Supercharge and Unstable Traits. If the weapon jams while using Supercharge, it automatically fails its Unstable Test and detonates.","IM 133"
,"Plasma Gun","Long Guns",10,"Long",12,2,"8000 (550)","Rare","Loud, Penetrating (6), Supercharge (4), Two-handed, Unstable","Plasma weapons deal high damage and have the Supercharge and Unstable Traits. If the weapon jams while using Supercharge, it automatically fails its Unstable Test and detonates.","IM 133"
,"Autopistol","Pistols",5,"Medium",3,0,"400 (20)","Common","Close, Loud, Rapid Fire (3)","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Autogun","Long Guns",6,"Long",5,2,"600 (30)","Common","Loud, Rapid Fire (3), Two-handed","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Hand Cannon","Pistols",8,"Medium",4,1,"550 (12)","Scarce","Close, Heavy (4), Loud, Penetrating (2)","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Heavy Stubber","Ordnance",8,"Extreme",8,3,"2000 (60)","Scarce","Heavy (4), Loud, Penetrating (3), Two-handed, Rapid Fire (4)","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Shotgun (Combat)","Long Guns",6,"Medium",12,2,"600 (15)","Scarce","Inflict (Prone), Loud, Spread, Two-handed","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Shotgun (Pump Action)","Long Guns",6,"Medium",8,1,"400 (10)","Common","Inflict (Prone), Loud, Spread, Two-handed","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Sniper Rifle","Long Guns",8,"Extreme",6,2,"1000 (40)","Scarce","Loud, Two-handed","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Stub Pistol","Pistols",6,"Medium",2,0,"250 (20)","Common","Burst, Close, Loud","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Stub Revolver (Pistol)","Pistols",6,"Medium",6,0,"200 (5)","Common","Close, Loud, Reliable","Solid projectile weapons vary wildly in their statistics and Traits and tend to accept a wider variety of Custom Ammunition (see page 132).","IM 133"
,"Autocannon","Ordnance",10,"Extreme",6,3,"4500 (225)","Rare","Heavy (4), Loud, Penetrating (5), Rapid FIre (3), Two-hand","The size and, more importantly, the recoil of these weapons typically limit their use as a carried weapon (without the liberal application of suspensors), thus, they are most commonly used either on a bipod mount (Imperium Maledictum, page 137) by Astra Militarum special weapons teams or a vehicle mount.","MR 51"
,"Charcaros Pattern Autogun","Long Guns",6,"Long",5,2,"650 (30)","Rare","Defensive, Loud, Rapid Fire (3), Two-handed","Since close-quarters combat is almost a certainty against such terrible xenos, the Charcaros Pattern Autogun is fitted with a defensive outer frame meant to tangle and catch the enemy’s talons, protecting the weapon and, to a lesser extent, the wielder.","MR 51"
,"Despersion Enforcer Shotgun","Long Guns",6,"Medium",12,3,"950 (15)","Rare","Inflict (Prone), Loud, Spread, Two-handed","The Departmento Munitorum-issued combat shotguns that fill Vigilite armouries across the sector have been upgraded to include a spiked, underslung Grapnel Launcher (Imperium Maledictum, Page 148), allowing the enforcers to traverse the rusting ventilation shafts and lethal drops common to the hives of Desperion as they track their criminal quarry. The spiked grapple can also be used to incapacitate a fleeing suspect, although the resulting blood loss from the sizable rent it produces in its target lessens the chance of them being captured alive. Another tactic used by the more daring officers is to launch themselves at speed toward their foes, utilising the shock and awe of their momentum to eliminate threats in the tumult of their offence.","MR 51"
,"Kallastin Pattern ‘Deadstop’ Mk III
Autogun","Long Guns",7,"Long",5,2,"700 (30)","Rare","Burst, Loud, Penetrating (1), Two-handed","The Mk III is a relatively new improvement upon the Deadstop pattern of autogun. Large numbers of the autogun have been distributed to the Kallastin Lancers, and there are rumours that such weapons are being constantly tested and prepared for a return of the dreaded green tide. Where the muscled masses of rampaging Orks might absorb large amounts of solid slugs, precise shots at critical locations with the largerthan- average calibre of an autogun projectile might prove more efficient in stopping the green tide.","MR 51"
,"Macharian
‘Sinbreaker’
Shrine Shotgun","Long Guns",6,"Medium",10,1,"600 (10)","Scarce","Inflict (Prone), Loud, Reliable, Spread, Two-handed","It is said that the machine spirit of the ‘Sinbreaker’ inherits the fervour and zeal of the Macharian history and becomes unwaveringly eager to mete out punishment against heretic and abomination alike, though the worshippers of the Machine God would likely refute the assertion. ‘Sinbreaker’ shotguns were seen throughout the fight against Cardinal Rayne, where the overwhelming but inefficient numbers of the heretical cardinal were devastated in close-quarters firefights. The ‘Sinbreaker’ remains the favoured weapon in purification teams who descend into the mouldering depths of Macharia, hunting Infractionists and vile heretics.","MR 51"
,"Osmodia Pattern Sniper Rifle","Long Guns",8,"Extreme",6,2,"1200 (50)","Scarce","Reliable, Two-handed","The Osmodia Pattern variant of the sniper rifle was developed to overcome this direct drawback. Fixed with acoustic baffles in its barrel, the dulled sound of its shots can prevent the shooter’s detection under the murmur of a hive city or the rumble of a manufactorum. These weapons are used by covert operatives in service to the Astra Militarum, as well as the Adeptus Arbites and Vigilites, as a precise means to cull those who would stoke discontent.","MR 51"
,"RX-9 Rivet Gun","Long Guns",12,"Short",10,3,"1700 (30)","Scarce","Heavy (3), Loud, Penetrating (4), Two-handed","Typically only issued to the highly augmented labourers with the strength to carry them, the Forgestamp Rivet Gun pattern auto-loads heated rivets. The red-hot rivets are hammered more easily into secure shape, allowing for much faster work, but are often proven fire hazards when wielded by untrained hands. At the GM’s discretion, any Rivet Gun may provide an Advantage to Tech Tests where such a tool would be useful.","MR 51"
,"RX-9 'Forgestamp' Pattern Rivet Gun","Long Guns",12,"Short",10,3,"3400 (60)","Rare","Heavy (4), Inflict (Ablaze), Loud, Penetrating (2), Rapid Fire (2), Two-handed","Typically only issued to the highly augmented labourers with the strength to carry them, the Forgestamp Rivet Gun pattern auto-loads heated rivets. The red-hot rivets are hammered more easily into secure shape, allowing for much faster work, but are often proven fire hazards when wielded by untrained hands. At the GM’s discretion, any Rivet Gun may provide an Advantage to Tech Tests where such a tool would be useful.","MR 51"
,"Skarthius Pattern
‘Last Word’
Shotgun","Long Guns",9,"Medium",2,2,"800 (15)","Scarce","Close, Inflict (Prone), Loud, Spread, Two-handed","The ‘Last Word’ is a devastating holdout weapon featuring a remarkably compact double-barrel design. It fires in a close, tight spread, capable of shredding even lightly armoured targets — a veritable backup weapon to end a firefight or the tool of someone’s last holdout before an untimely end. On rare occasions, the sight of the weapon is enough to end conflicts before they start. The ‘Last Word’ often finds its way to various hive worlds, the weapon at its most potent among the close streets and deep slums.","MR 51"
,"Skarthius Pattern Mk IV Autogun","Long Guns",5,"Long",7,1,"700 (35)","Scarce","Close, Loud, Rapid Fire (3), Two-handed","The compact Skarthius IV Autogun was designed for close-quarters combat and has seen use in aggressive firefights among labyrinthine hive depths and boarding actions amidst the void. Its high fire rate and low calibre make it safe to fire within pressurised environments, and the sturdy frame is manufactured with a folding stock by default. The simple but robust frame is highly modular, and it is common to find the Skarthius IV deployed with a variety of modifications.","MR 51"
,"Needle Pistol","Pistols",1,"Medium",4,1,"1500 (200)","Exotic","Close, Inflict (Poisoned), Penetrating (6), Subtle","Needle weapons project an almost imperceptible beam of light, along which they project a venom-tipped needle to strike their targets with stealth and precision — ideal for espionage and assassinations. They inflict the Poisoned (Minor) Condition (see page 356), or the Poisoned (Major) Condition if the attack hits the targets head.","IM 133"
,"Needle Rifle","Long Guns",1,"Long",6,2,"1700 (220)","Exotic","Inflict (Poisoned), Penetrating (6), Subtle, Two-handed","Needle weapons project an almost imperceptible beam of light, along which they project a venom-tipped needle to strike their targets with stealth and precision — ideal for espionage and assassinations. They inflict the Poisoned (Minor) Condition (see page 356), or the Poisoned (Major) Condition if the attack hits the targets head.","IM 133"
,"Web Pistol","Pistols","--","Short",3,1,"1300 (130)","Rare","Close, Inflict (Restrained)","Web weapons, often called ‘glue guns’ fire a wide net of sticky fluid which constricts and solidifies on contact — making them perfect tools for Arbites officers or bounty hunters. Webbing material is designed to dissolve in minutes or hours after use. Webbers inflict the Restrained (Minor) Condition (page 357), or the Restrained (Major) Condition if the final result of the Ranged Test is at least +4 SL.","IM 133"
,"Webber","Long Guns","--","Medium",6,2,"1500 (150)","Rare","Inflict (Retrained), Two-Weapon","Web weapons, often called ‘glue guns’ fire a wide net of sticky fluid which constricts and solidifies on contact — making them perfect tools for Arbites officers or bounty hunters. Webbing material is designed to dissolve in minutes or hours after use. Webbers inflict the Restrained (Minor) Condition (page 357), or the Restrained (Major) Condition if the final result of the Ranged Test is at least +4 SL.","IM 133"
,"Deluge Fluid
Cannon
(High Pressure)","Ordnance",8,"Long",5,4,2500,"Scarce","Flamer, Heavy (4), Ineffective, Two-handed","The Deluge Fluid Cannon can be switched between the two different profiles presented in the Ranged Weapon Table (pages 51–52) at the flick of a switch. To be clear, while it has the Flamer Trait (Imperium Maledictum, page 124) the cannon does not actually set anything ablaze. Ammunition is free if the cannon is hooked into an ample supply, such as a water pipeline or reservoir. Alternate chemical Ammunition costs 500 solars per tank and may Inflict one of the Ablaze, Blinded, Poisoned, Prone or Stunned Conditions. Sealed armour protects against these Conditions, as appropriate. Any Ammunition made from corrosive fluids causes the weapon to become Unstable.","MR 52"
,"Deluge Fluid
Cannon
(High Volume)","Ordnance",5,"Medium",5,4,2500,"Scarce","Flamer, Heavy (4), Ineffective, Inflict (Stunned), Two-handed","The Deluge Fluid Cannon can be switched between the two different profiles presented in the Ranged Weapon Table (pages 51–52) at the flick of a switch. To be clear, while it has the Flamer Trait (Imperium Maledictum, page 124) the cannon does not actually set anything ablaze. Ammunition is free if the cannon is hooked into an ample supply, such as a water pipeline or reservoir. Alternate chemical Ammunition costs 500 solars per tank and may Inflict one of the Ablaze, Blinded, Poisoned, Prone or Stunned Conditions. Sealed armour protects against these Conditions, as appropriate. Any Ammunition made from corrosive fluids causes the weapon to become Unstable.","MR 52"
,"Seismic Cannon
(Long Wave
Pattern)","Ordnance",8,"Long",4,5,"6000 (600)","Scarce","Heavy (5), Loud, Penetrating (10), Two-handed","The Ditchdiggers gang, who serve as saboteurs for Lady Mizra Ivoseth’s rebellion, have developed infamy among the planetary governor’s forces, partly for their liberal use of the Seismic Cannon. While initially applied to damage transit routes and crack fortifications, from the moment the weapon was turned directly on the troops of the planetary governor, strict orders have been issued to Vigilite kill teams to extract or destroy any of these tools they come across.","MR 52"
,"Seismic Cannon
(Short Wave
Pattern)","Ordnance",12,"Short",4,5,"6000 (600)","Scarce","Heavy (5), Loud, Penetrating (10), Two-handed","The Ditchdiggers gang, who serve as saboteurs for Lady Mizra Ivoseth’s rebellion, have developed infamy among the planetary governor’s forces, partly for their liberal use of the Seismic Cannon. While initially applied to damage transit routes and crack fortifications, from the moment the weapon was turned directly on the troops of the planetary governor, strict orders have been issued to Vigilite kill teams to extract or destroy any of these tools they come across.","MR 52"
,"Storm Welder","Ordnance",10,"Medium",9,3,"1900 (150)","Scarce","Rapid Fire (3), Spread, Two-handed, Unstable","Outside combat, a Storm Welder may, at the GM’s discretion, provide Advantage on Tech Tests where it might be an appropriate tool. Outside combat, a Storm Welder’s capacitor-magazine can be recharged by any standard Imperial power outlet. From empty to a full charge takes around 2 hours.","MR 52"
,"Blasting Charge","Thrown",10,"--","--",0,40,"Common","Loud, Spread, Thrown (Medium), Unstable","Ostensibly designed for mining operations, blasting charges are most often bulky tubes filled with compact explosives. Though they are designed to be linked together and detonated from a distance, they are nonetheless favoured as improvised explosives by gangs and dissidents on industrial worlds, where knowledge of their operation is widespread and are found in bulk. Blasting charges are powerful but have a limited radius.","IM 136"
,"Choke Grenade","Thrown, Ordnance","-","--","--",0,40,"Scarce","Inflict (Stunned)*, Thrown (Medium), Unstable","When a Choke Grenade hits a Zone, all creatures in that Zone must make a Hard (−20) Fortitude (Endurance) Test or suffer the Stunned (Minor) Condition for three rounds. Additionally, anyone who enters or starts their turn in that Zone for the next three rounds must make the same Test. This duration can be extended or shortened depending on the ventilation, such as enclosed spaces or strong winds.","IM 136"
,"Demolition Charge","Engineering",16,"--","--",2,50,"Common","Loud, Spread, Unstable","Repurposed industrial devices, demolition charges are most often heavy packs or containers filled with shaped explosives that must be placed against their target rather than thrown. They use a variety of delays, from standard det chords to electronic timers, to ensure the user is far enough away when they detonate. A Demolition Charge always comes with a linked Remote Detonator (see page 144).","IM 136"
,"Fire Bomb","Thrown","--","--","--",1,10,"Common","Blast, Loud, Inflict (Ablaze)*, Thrown (Medium), Unstable","You can make a Ranged Attack to target an enemy with a Fire Bomb. The target is set Ablaze. Alternatively, you can target a Zone with a Fire Bomb. A Fire Bombs turns a Zone it hits into a Minor Hazard (page 206) for three rounds. This duration can be extended or shortened depending on the amount of flammable material in the Zone, such as arid forests or rain-slicked spires.","IM 136"
,"Frag Grenade","Thrown, Ordnance",6,"--","--",0,50,"Common","Blast, Loud, Thrown (Medium), Unstable","Almost every warrior in the Imperium, from Militarum troopers to elite Space Marines, carries frag grenades to aid in assaulting positions, with grenade launchers providing longer range infantry suppression. Frag missiles are the more powerful version, with a greater range to soften up distant positions such as heavy weapon teams. Frag grenades have a large radius, and deal decent damage.","IM 136"
,"Frag Missile","Ordnance",8,"--","--",1,200,"Scarce","Blast, Loud, Unstable","Almost every warrior in the Imperium, from Militarum troopers to elite Space Marines, carries frag grenades to aid in assaulting positions, with grenade launchers providing longer range infantry suppression. Frag missiles are the more powerful version, with a greater range to soften up distant positions such as heavy weapon teams. Frag grenades have a large radius, and deal decent damage.","IM 136"
,"Krak Grenade","Thrown, Ordnance",12,"--","--",0,60,"Scarce","Loud, Penetrating (4), Spread, Thrown (Medium), Unstable","Krak grenades and missiles are found throughout the Imperium war machine. They are designed for armour penetration and overwhelm most personal protective gear with ease. Krak rounds also excel at blowing apart bulkheads, vehicle hulls, and fortifications, leaving those inside exposed and vulnerable. Krak munitions have high damage and the Penetrating Trait, but a limited radius.","IM 136"
,"Krak Missile","Ordnance",16,"--","--",1,400,"Scarce","Loud, Penetrating (6), Spread, Unstable","Krak grenades and missiles are found throughout the Imperium war machine. They are designed for armour penetration and overwhelm most personal protective gear with ease. Krak rounds also excel at blowing apart bulkheads, vehicle hulls, and fortifications, leaving those inside exposed and vulnerable. Krak munitions have high damage and the Penetrating Trait, but a limited radius.","IM 136"
,"Melta Bomb","Engineering",16,"--","--",2,1000,"Exotic","Rend (12), Spread, Unstable","These powerful but unwieldy explosives are generally affixed to stationary targets via magnetic adhesion. They use technology similar to Melta weapons but concentrate their effects into a shaped charge; this makes them exceptionally lethal against even the strongest of armour plating and tank hulls. Melta bombs deal very high damage and have the Rend Trait, but only affect the target they are attached to.","IM 136"
,"Photon Flash Grenade","Thrown, Ordnance","--","--","--",0,200,"Rare","Blast, Loud, Inflict (Blinded)*, Thrown (Medium), Unstable","These stunning grenades detonate with searing bursts of light that blinds and disorients those not wearing adequate eye protection. These explosives are so bright that they can reflect off matte plasteel and concrete, blinding those who turn their backs from the explosion itself. When a Photon Flash Grenade hits a Zone, all creatures in that Zone must make a Hard (−20) Reflexes Test or suffer the Blinded Condition for three rounds.","IM 136"
