Talent,Category,Src,Prerequisites,Brief,Text,ID,Rules
Mastery (Discipline),General,MalExp,"4 Advances in Discipline, Talented (Discipline) Talent","Spend FP to auto-succeed on selected Discipline, scored SL = associated stat bonus","You must have 4 Advances in Discipline and the Talented(Discipline) on. You can spend a Fate Point to automatically pass a Discipline Test, scoring a number of Success Levels equal to your characteristic bonus. ",000011,"return this.actor.system.skills.discipline.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Discipline)"")"
Mastery (Fortitude),General,MalExp,"4 Advances in Fortitude, Talented (Fortitude) Talent","Spend FP to auto-succeed on selected Fortitude, scored SL = associated stat bonus","You must have 4 Advances in Fortitude and the Talented(Fortitude) on. You can spend a Fate Point to automatically pass a Fortitude Test, scoring a number of Success Levels equal to your characteristic bonus. ",000012,"return this.actor.system.skills.fortitude.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Fortitude)"")"
Mastery (Intuition),General,MalExp,"4 Advances in Intuition, Talented (Intuition) Talent","Spend FP to auto-succeed on selected Intuition, scored SL = associated stat bonus","You must have 4 Advances in Intuition and the Talented(Intuition) on. You can spend a Fate Point to automatically pass a Intuition Test, scoring a number of Success Levels equal to your characteristic bonus. ",000013,"return this.actor.system.skills.intuition.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Intuition)"")"
Mastery (Linguistics),General,MalExp,"4 Advances in Linguistics, Talented (Linguistics) Talent","Spend FP to auto-succeed on selected Linguistics, scored SL = associated stat bonus","You must have 4 Advances in Linguistics and the Talented(Linguistics) on. You can spend a Fate Point to automatically pass a Linguistics Test, scoring a number of Success Levels equal to your characteristic bonus. ",000014,"return this.actor.system.skills.linguistics.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Linguistics)"")"
Mastery (Logic),General,MalExp,"4 Advances in Logic, Talented (Logic) Talent","Spend FP to auto-succeed on selected Logic, scored SL = associated stat bonus","You must have 4 Advances in Logic and the Talented(Logic) on. You can spend a Fate Point to automatically pass a Logic Test, scoring a number of Success Levels equal to your characteristic bonus. ",000015,"return this.actor.system.skills.logic.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Logic)"")"
Mastery (Lore),General,MalExp,"4 Advances in Lore, Talented (Lore) Talent","Spend FP to auto-succeed on selected Lore, scored SL = associated stat bonus","You must have 4 Advances in Lore and the Talented(Lore) on. You can spend a Fate Point to automatically pass a Lore Test, scoring a number of Success Levels equal to your characteristic bonus. ",000016,"return this.actor.system.skills.lore.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Lore)"")"
Mastery (Medicae),General,MalExp,"4 Advances in Medicae, Talented (Medicae) Talent","Spend FP to auto-succeed on selected Medicae, scored SL = associated stat bonus","You must have 4 Advances in Medicae and the Talented(Medicae) on. You can spend a Fate Point to automatically pass a Medicae Test, scoring a number of Success Levels equal to your characteristic bonus. ",000017,"return this.actor.system.skills.medicae.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Medicae)"")"
Mastery (Melee),General,MalExp,"4 Advances in Melee, Talented (Melee) Talent","Spend FP to auto-succeed on selected Melee, scored SL = associated stat bonus","You must have 4 Advances in Melee and the Talented(Melee) on. You can spend a Fate Point to automatically pass a Melee Test, scoring a number of Success Levels equal to your characteristic bonus. ",000018,"return this.actor.system.skills.melee.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Melee)"")"
Mastery (Navigation),General,MalExp,"4 Advances in Navigation, Talented (Navigation) Talent","Spend FP to auto-succeed on selected Navigation, scored SL = associated stat bonus","You must have 4 Advances in Navigation and the Talented(Navigation) on. You can spend a Fate Point to automatically pass a Navigation Test, scoring a number of Success Levels equal to your characteristic bonus. ",000019,"return this.actor.system.skills.navigation.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Navigation)"")"
Mastery (Piloting),General,MalExp,"4 Advances in Piloting, Talented (Piloting) Talent","Spend FP to auto-succeed on selected Piloting, scored SL = associated stat bonus","You must have 4 Advances in Piloting and the Talented(Piloting) on. You can spend a Fate Point to automatically pass a Piloting Test, scoring a number of Success Levels equal to your characteristic bonus. ",000020,"return this.actor.system.skills.piloting.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Piloting)"")"
Mastery (Presence),General,MalExp,"4 Advances in Presence, Talented (Presence) Talent","Spend FP to auto-succeed on selected Presence, scored SL = associated stat bonus","You must have 4 Advances in Presence and the Talented(Presence) on. You can spend a Fate Point to automatically pass a Presence Test, scoring a number of Success Levels equal to your characteristic bonus. ",000021,"return this.actor.system.skills.presence.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Presence)"")"
Mastery (Psychic Mastery),General,MalExp,"4 Advances in Psychic Mastery, Talented (Psychic Mastery) Talent","Spend FP to auto-succeed on selected Psychic Mastery, scored SL = associated stat bonus","You must have 4 Advances in Psychic Mastery and the Talented(Psychic Mastery) on. You can spend a Fate Point to automatically pass a Psychic Mastery Test, scoring a number of Success Levels equal to your characteristic bonus. ",000022,"return this.actor.system.skills.psychic.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Psychic Mastery)"")"
Mastery (Ranged),General,MalExp,"4 Advances in Ranged, Talented (Ranged) Talent","Spend FP to auto-succeed on selected Ranged, scored SL = associated stat bonus","You must have 4 Advances in Ranged and the Talented(Ranged) on. You can spend a Fate Point to automatically pass a Ranged Test, scoring a number of Success Levels equal to your characteristic bonus. ",000023,"return this.actor.system.skills.ranged.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Ranged)"")"
Mastery (Rapport),General,MalExp,"4 Advances in Rapport, Talented (Rapport) Talent","Spend FP to auto-succeed on selected Rapport, scored SL = associated stat bonus","You must have 4 Advances in Rapport and the Talented(Rapport) on. You can spend a Fate Point to automatically pass a Rapport Test, scoring a number of Success Levels equal to your characteristic bonus. ",000024,"return this.actor.system.skills.rapport.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Rapport)"")"
Mastery (Reflexes),General,MalExp,"4 Advances in Reflexes, Talented (Reflexes) Talent","Spend FP to auto-succeed on selected Reflexes, scored SL = associated stat bonus","You must have 4 Advances in Reflexes and the Talented(Reflexes) on. You can spend a Fate Point to automatically pass a Reflexes Test, scoring a number of Success Levels equal to your characteristic bonus. ",000025,"return this.actor.system.skills.reflexes.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Reflexes)"")"
Mastery (Stealth),General,MalExp,"4 Advances in Stealth, Talented (Stealth) Talent","Spend FP to auto-succeed on selected Stealth, scored SL = associated stat bonus","You must have 4 Advances in Stealth and the Talented(Stealth) on. You can spend a Fate Point to automatically pass a Stealth Test, scoring a number of Success Levels equal to your characteristic bonus. ",000026,"return this.actor.system.skills.stealth.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Stealth)"")"
Mastery (Tech),General,MalExp,"4 Advances in Tech, Talented (Tech) Talent","Spend FP to auto-succeed on selected Tech, scored SL = associated stat bonus","You must have 4 Advances in Tech and the Talented(Tech) on. You can spend a Fate Point to automatically pass a Tech Test, scoring a number of Success Levels equal to your characteristic bonus. ",000027,"return this.actor.system.skills.tech.advances >= 4 && this.actor.itemTypes[""talent""].find(i => i.name == ""Talented(Tech)"")"
Talented (Athletics),General,MalEAthleticsp,2 Advances in Athletics,Once/session: re-roll Athletics check (take better),"You have a natural affinity towards Athletics. You must have two Advances in Athletics. Once per session, you may reroll any Test for Athletics even if the result is already a success. ",000028,return this.actor.system.skills.athletics.advances >= 2
Talented (Awareness),General,MalEAwarenessp,2 Advances in Awareness,Once/session: re-roll Awareness check (take better),"You have a natural affinity towards Awareness. You must have two Advances in Awareness. Once per session, you may reroll any Test for Awareness even if the result is already a success. ",000029,return this.actor.system.skills.awareness.advances >= 2
Talented (Dexterity),General,MalEDexterityp,2 Advances in Dexterity,Once/session: re-roll Dexterity check (take better),"You have a natural affinity towards Dexterity. You must have two Advances in Dexterity. Once per session, you may reroll any Test for Dexterity even if the result is already a success. ",000030,return this.actor.system.skills.dexterity.advances >= 2
Talented (Discipline),General,MalExp,2 Advances in Discipline,Once/session: re-roll Discipline check (take better),"You have a natural affinity towards Discipline. You must have two Advances in Discipline. Once per session, you may reroll any Test for Discipline even if the result is already a success. ",000031,return this.actor.system.skills.discipline.advances >= 2
Talented (Fortitude),General,MalExp,2 Advances in Fortitude,Once/session: re-roll Fortitude check (take better),"You have a natural affinity towards Fortitude. You must have two Advances in Fortitude. Once per session, you may reroll any Test for Fortitude even if the result is already a success. ",000032,return this.actor.system.skills.fortitude.advances >= 2
Talented (Intuition),General,MalExp,2 Advances in Intuition,Once/session: re-roll Intuition check (take better),"You have a natural affinity towards Intuition. You must have two Advances in Intuition. Once per session, you may reroll any Test for Intuition even if the result is already a success. ",000033,return this.actor.system.skills.intuition.advances >= 2
Talented (Linguistics),General,MalExp,2 Advances in Linguistics,Once/session: re-roll Linguistics check (take better),"You have a natural affinity towards Linguistics. You must have two Advances in Linguistics. Once per session, you may reroll any Test for Linguistics even if the result is already a success. ",000034,return this.actor.system.skills.linguistics.advances >= 2
Talented (Logic),General,MalExp,2 Advances in Logic,Once/session: re-roll Logic check (take better),"You have a natural affinity towards Logic. You must have two Advances in Logic. Once per session, you may reroll any Test for Logic even if the result is already a success. ",000035,return this.actor.system.skills.logic.advances >= 2
Talented (Lore),General,MalExp,2 Advances in Lore,Once/session: re-roll Lore check (take better),"You have a natural affinity towards Lore. You must have two Advances in Lore. Once per session, you may reroll any Test for Lore even if the result is already a success. ",000036,return this.actor.system.skills.lore.advances >= 2
Talented (Medicae),General,MalExp,2 Advances in Medicae,Once/session: re-roll Medicae check (take better),"You have a natural affinity towards Medicae. You must have two Advances in Medicae. Once per session, you may reroll any Test for Medicae even if the result is already a success. ",000037,return this.actor.system.skills.medicae.advances >= 2
Talented (Melee),General,MalExp,2 Advances in Melee,Once/session: re-roll Melee check (take better),"You have a natural affinity towards Melee. You must have two Advances in Melee. Once per session, you may reroll any Test for Melee even if the result is already a success. ",000038,return this.actor.system.skills.melee.advances >= 2
Talented (Navigation),General,MalExp,2 Advances in Navigation,Once/session: re-roll Navigation check (take better),"You have a natural affinity towards Navigation. You must have two Advances in Navigation. Once per session, you may reroll any Test for Navigation even if the result is already a success. ",000039,return this.actor.system.skills.navigation.advances >= 2
Talented (Piloting),General,MalExp,2 Advances in Piloting,Once/session: re-roll Piloting check (take better),"You have a natural affinity towards Piloting. You must have two Advances in Piloting. Once per session, you may reroll any Test for Piloting even if the result is already a success. ",000040,return this.actor.system.skills.piloting.advances >= 2
Talented (Presence),General,MalExp,2 Advances in Presence,Once/session: re-roll Presence check (take better),"You have a natural affinity towards Presence. You must have two Advances in Presence. Once per session, you may reroll any Test for Presence even if the result is already a success. ",000041,return this.actor.system.skills.presence.advances >= 2
Talented (Psychic Mastery),General,MalExp,2 Advances in Psychic Mastery,Once/session: re-roll Psychic Mastery check (take better),"You have a natural affinity towards Psychic Mastery. You must have two Advances in Psychic Mastery. Once per session, you may reroll any Test for Psychic Mastery even if the result is already a success. ",000042,return this.actor.system.skills.psychic.advances >= 2
Talented (Ranged),General,MalExp,2 Advances in Ranged,Once/session: re-roll Ranged check (take better),"You have a natural affinity towards Ranged. You must have two Advances in Ranged. Once per session, you may reroll any Test for Ranged even if the result is already a success. ",000043,return this.actor.system.skills.ranged.advances >= 2
Talented (Rapport),General,MalExp,2 Advances in Rapport,Once/session: re-roll Rapport check (take better),"You have a natural affinity towards Rapport. You must have two Advances in Rapport. Once per session, you may reroll any Test for Rapport even if the result is already a success. ",000044,return this.actor.system.skills.rapport.advances >= 2
Talented (Reflexes),General,MalExp,2 Advances in Reflexes,Once/session: re-roll Reflexes check (take better),"You have a natural affinity towards Reflexes. You must have two Advances in Reflexes. Once per session, you may reroll any Test for Reflexes even if the result is already a success. ",000045,return this.actor.system.skills.reflexes.advances >= 2
Talented (Stealth),General,MalExp,2 Advances in Stealth,Once/session: re-roll Stealth check (take better),"You have a natural affinity towards Stealth. You must have two Advances in Stealth. Once per session, you may reroll any Test for Stealth even if the result is already a success. ",000046,return this.actor.system.skills.stealth.advances >= 2
Talented (Tech),General,MalExp,2 Advances in Tech,Once/session: re-roll Tech check (take better),"You have a natural affinity towards Tech. You must have two Advances in Tech. Once per session, you may reroll any Test for Tech even if the result is already a success. ",000047,return this.actor.system.skills.tech.advances >= 2
Abiding Resilience,Defense,MalExp,2 Advances in Fortitude,Spend FP to recover 1d5+TghB,You can now expend a Fate Point to regain 1d5 + Toughness Bonus Wounds.,000048,return this.actor.system.skills.fortitude.advances >= 2
Adamantine Faith,Defense,MalExp,2 Advances in Discipline,"Reduce failed resist tests against Frightened/Pinning by WilB. If reach 0SL, count as 1SL","You can subtract your Willpower Bonus from the negative Success Levels you have on a failed test to resist the Frightened or Pinning tests. If this reduces the result to +0SL, you count as having passed the with +1SL instead. ",000049,return this.actor.system.skills.discipline.advances >= 2
Aegis of Contempt,Defense,MalExp,"3 Advances in Discipline, 1 Advance in Discipline(Psychic), Shield of Contempt Talent",Ally within Medium gains Corruption: Reduce by 1. Ally may spend FP to gain 0 instead,"Whenever an ally within Medium Range gains Corruption, reduce the amount gained by 1 to a minimum of 0. In addition, any ally within Medium Range can spend a Fate Point to gain 0 Corruption instead. These effects do not stack when there are multiple characters with this Talent within range.",000050,"return this.actor.system.skills.discipline.advances >= 3 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Psychic"" && i.system.skill == ""discipline"")?.system?.advances >= 1) && this.actor.itemTypes[""talent""].find(i => i.name == ""Shield of Contempt"")"
Armor of Contempt,Defense,MalExp,2 Advances in Discipline,"Whenever gaining corruption, gain 1 less","Whenever you gain Corruption Points, reduce the total by 1, to a minimum of 0.  ",000051,return this.actor.system.skills.discipline.advances >= 2
Bastion of Hatred,Defense,MalExp,"2 Advances in Discipline, Emperor’s Aegis Talent","Extra reaction, can only be used to Deny the Witch","You may make an additional Deny the Witch attempt reaction once per Round. This reaction can only be used for attempts to Deny the Witch, and you may only Deny the Witch against one attack.",000052,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Emperor’s Aegis"")"
Blistering Evasion,Defense,MalExp,2 Advances in Reflexes(Dodge) or 2 Advances in Melee,On success dodge/parry:further attack against you -10. Stacks until next turn,"Whenever you successfully Dodge or Parry an attack, any further attacks against you until the beginning of your next turn suffer a -10 Penalty. If you perform multiple successful Dodges and/or Parries, this penalty is cumulative until the beginning of your next turn. ",000053,"return this.actor.system.skills.melee.advances >= 2 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Dodge"" && i.system.skill == ""reflexes"")?.system?.advances >= 2)"
Death or Glory,Defense,MalExp,1 Advance in Melee and 1 Advance in Discipline,May immediately charge an enemy that would trigger frighten you as free action if within range,"When confronting an enemy that would cause you to make a test against the Frightened condition, you may instead immediately Charge (CRB pg. 207) the source of the test as an any-time Free Action, so long as they are within range and are a tangible threat (charging a Daemon is fine, charging the consequences of your actions is not). This talent may be used even if you have already done an Action.",000054,return this.actor.system.skills.melee.advances >= 1 && this.actor.system.skills.discipline.advances >= 1
Die Hard,Defense,MalExp,-,Reroll Fortitude (Endurance) to resist Bleeding,"Through either willpower or sheer stubbornness, you refuse to die. When you suffer from the Bleeding condition, you may reroll Fortitude (Endurance) Tests to resist the condition. ",000055,
Dug In Deep,Defense,MalExp,-,"Extra armor while in cover: Light +1, Medium/Heavy +2","You are an expert of defensive warfare, making maximum use of cover to reinforce your position. When targeted by an enemy whilst in Light Cover, you gain +1 Armor, and whilst in Medium or Heavy Cover you gain +2 Armor.",000056,
Formidable,Defense,MalExp,Tenacious Talent,"Halve damage from Blast weapon effect (after armor, round up)","Though the human body can never truly adapt to the intense pressure, heat, and vibration shocks of explosions, anyone experienced with demolitions or artillery becomes somewhat accustomed to it. When you take damage from a weapon with the Blast quality, you halve the number of Wounds you receive after accounting for armor, rounding up.",000057,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Tenacious"")"
Hardened Soul,Defense,MalExp,"Emperor’s Aegis Talent, succeeded against a corruption test at least once",When gain Corruption: gain half. Checks to hold corruption +1SL,"Whenever you would gain Corruption Points, you may reduce the amount by half (rounded up). Additionally, when you make a test to resist to hold off your corruption, you gain +1 SL on the test.",000058,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Emperor’s Aegis"")"
Last Man Standing,Defense,MalExp,3 Advances in Discipline and 1 Advance in Discipline(Fear),"Immune to pinning from Pistol/Long Guns, +1 Armor cover","You are immune to getting Pinned by Pistols and Long Guns, and add +1 Armor to any cover protecting you from ranged attacks.",000059,"return this.actor.system.skills.discipline.advances >= 3 && (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Fear"" && i.system.skill == ""discipline"")?.system?.advances >= 1)"
Low Profile,Defense,MalExp,1 Advance in Reflexes,+2 Cover Armor,"Effective city-fighting requires relearning how to move – not just keeping your head down, but making every piece of environmental protection work as hard as possible for you. You increase the effective armor of any cover you occupy by +2.",000060,return this.actor.system.skills.reflexes.advances >= 1
Nerves of Steel,Defense,MalExp,-,"Re-Roll failed Discipline to resist Pinning, +1SL against Intimidation","Long years on the battlefield enable you to remain calm as fire impacts all around you. You may re-roll failed Discipline Tests to avoid or recover from Pinning. In addition, you are seldom impressed by the aggressive displays of your enemies and gain +1SL to Discipline Tests when resisting the effects of enemy Intimidation Skill attempts.",000061,
Orthoproxy,Defense,MalExp,2 Advances in Discipline,When gain Corruption / Mind influence: Discipline test to ignore effect (Free action),"Whenever you gain Corruption Points, or suffer mind-influencing effects (including but not limited to psychic powers) that would subvert, cloud, alter, or control your mind, you may make a Challenging (+0) Discipline Test as an any-time Free Action to ignore the effects. However, you tend to not get jokes anymore.",000062,return this.actor.system.skills.discipline.advances >= 2
Resistance (X),Defense,MalExp,-,+1 SL resist selected effects,"Each time you take this talent, choose one type of resistance. You gain a +1SL Bonus when resisting the effects of this type. The GM may require approval for certain choices, or justifications based on your past. Candidates for resistance effects include but are not limited to Cold, Fear, Heat, Poisons, Psychic Powers, the Vacuum, and Other, where Other is substituted by any other effect not listed here.",000063,
Shield Wall,Defense,MalExp,"2 Advances in Melee, Ambidextrous Talent",With Shield: re-roll failed parry (once/turn),"When you are armed with a shield, you may re-roll one failed Parry test per round",000064,"return this.actor.system.skills.melee.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Ambidextrous"")"
Shield of Contempt,Defense,MalExp,"3 Advances in Discipline, Armor of Contempt Talent",Gain corruption: spend FP to take 0,"Whenever you gain any amount of Corruption Points, you may spend a Fate Point to gain 0 instead.",000065,"return this.actor.system.skills.discipline.advances >= 3 && this.actor.itemTypes[""talent""].find(i => i.name == ""Armor of Contempt"")"
Silence the Witch,Defense,MalExp,"2 Advances in Melee or 2 Advances in Ranged, Emperor’s Aegis Talent",Reactive Target a Location attack against user of a Psychic Power / Ritual within weapon range. Resolve attack before the Power,"Whenever a Psychic Power, Navigator Power, or Hex-type Ritual is used by an enemy, you may make a Target a Location attack against them as a reaction. The enemy must be within the Range of the weapon used for the attack, and must be done after the Test is made but before the Power is resolved, as the enemy may be unable to use the power depending on the results. If the enemy is knocked Unconscious, is set Ablaze, Stunned, or Dies, then the power does not manifest. ",000066,"return this.actor.system.skills.melee.advances >= 2 && this.actor.system.skills.ranged.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Emperor’s Aegis"")"
Sound Constitution (X),General,MalExp,-,+X wounds (increases by 1 each time the talent is bought),"You gain one additional wound each time you have purchased this talent. Note the number of times this talent has been taken, such as Sound Constitution (3).",000067,
Tireless,Defense,MalExp,1 Advance in Fortitude and 1 Advance in Discipline,Ignore Fatigued(Minor). Use effect of Minor for Fatigued(Major),"Treat Fatigued (Major) as Fatigued (Minor), and Fatigued (Minor) as not being fatigued at all. ",000068,return this.actor.system.skills.fortitude.advances >= 1 && this.actor.system.skills.discipline.advances >= 1
True Grit,Defense,MalExp,2 Advance in Fortitude(Pain),"On Critical wound: reduce severity roll by 5, min 1","The character is able to shrug off wounds that would fell lesser men. Whenever the character suffers a Critical Wound, reduce the Severity Roll by 5 (to a minimum of 1)",000069,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Pain"" && i.system.skill == ""fortitude"")?.system?.advances >= 2)"
Warp Banisher,Defense,MalExp,"2 Advances in Discipline, Condemn the Witch Talent OR Emperor’s Aegis Talent",After successful Deny The Witch: spend FP to prevent psychic power usage for 1d5 turns. If demon: +5 damage,"After making a successful Deny the Witch attempt to stop a Power from affecting you, you may spend a Fate Point to prevent the enemy from using any powers at all for 1d5 turns. Furthermore, if the enemy is Daemonic in nature, they suffer 5 Damage. ",000070,"return this.actor.system.skills.discipline.advances >= 2 && this.actor.itemTypes[""talent""].find(i => i.name == ""Condemn the Witch Talent OR Emperor’s Aegis"")"
Archivautor,Knowledge,MalExp,"1 Advance in Lore, Data Delver Talent",Reroll failed checks utilizing recorded information with a -10,"When you make a Lore or Psychic Mastery Test utilizing sources of recorded information of any sort, such as cogitators, tomes, info-nets, and dataslates, you can reroll a failed test once with an additional -10 penalty. ",000071,"return this.actor.system.skills.lore.advances >= 1 && this.actor.itemTypes[""talent""].find(i => i.name == ""Data Delver"")"
Flash of Insight,Knowledge,MalExp,2 Advances in Logic(Investigation),Spend FP to reveal a clue or lead to progress investigation,"When stuck in an investigation, you may spend one Fate Point to reveal a single clue or lead to aid in the progression of your efforts. ",000072,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Investigation"" && i.system.skill == ""logic"")?.system?.advances >= 2)"
Forensic Expert,Knowledge,MalExp,2 Advances in Logic(Investigation),"+1 SL to any checks related to investigating biological, trace, and impression evidence, as well as examining and comparing other basic information at a crime scene","You have been trained in the Forensics science of Criminalistics, and are a candidate to receive further dedicated training. When making a Logic (Investigation) test, you gain a +1SL bonus on it in terms of investigating biological, trace, and impression evidence, as well as examining and comparing other basic information at a crime scene. This talent may be taken multiple times, which grants a +1SL bonus to Logic (Investigation) tests and other skills relating to its field. Each time after the first, choose from one of the following fields: Data Forensics, Forensic Ballistics, Forensic Biologis, Forensic Chymestry, Forensic Engineering, Forensic Psykologis",000073,"return (this.actor.itemTypes[""specialisation""].find(i => i.name == ""Investigation"" && i.system.skill == ""logic"")?.system?.advances >= 2)"
Data Forensics,Knowledge,MalExp,Forensic Expert Talent,Grants the bonus of Forensic Expert to Tech(Security),Relating to investigating and recovering data from electronically stored media. This field grants bonuses to Tech (Security) tests as appropriate.,000074,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
Forensic Ballistics,Knowledge,MalExp,Forensic Expert Talent,"Grants the bonus of Forensic Expert to analyzing firearms and munitions, potentially deducing the skill of the shooter","Relating to the analysis of firearms and their munitions. Training in this field allows you to deduce exactly what weapons and munitions were used, with a high number of SLs allowing you to evaluate the shooters skill.",000075,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
Forensics Biologis,Knowledge,MalExp,Forensic Expert Talent,Grants the bonus of Forensic Expert to Medicae,"Relating to biological fluids, tissues, muscles, and DNA analysis. This field grants bonuses to Medicae tests as appropriate.",000076,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
Forensic Chymestry,Knowledge,MalExp,Forensic Expert Talent,Grants the bonus of Forensic Expert to Medicae(Chem-Use),"Relating to the detection and identification of chemical substances such as drugs, as well as their effects on the human body. This field grants bonuses to Medicae (Chem-Use) tests as appropriate.",000077,"return this.actor.itemTypes[""talent""].find(i => i.name == ""Forensic Expert"")"
